transaction_id,order_id,transaction_date,customer_id,amount,currency,payment_method,transaction_status,settlement_status,settlement_amount
TXN00027,ORD00027,2026-08-15,CUST1056,499,INR,UPI,SUCCESS,PENDING,0
TXN00028,ORD00028,2026-08-17,CUST1098,499,INR,UPI,SUCCESS,PENDING,0
TXN00029,ORD00029,2026-08-07,CUST1065,4999,INR,CARD,SUCCESS,SETTLED,4999
TXN00030,ORD00030,2026-08-01,CUST1070,2999,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00031,ORD00031,2026-08-12,CUST1003,299,INR,NETBANKING,SUCCESS,SETTLED,299
TXN00032,ORD00032,2026-08-03,CUST1031,4999,INR,UPI,FAILED,NOT_SETTLED,0
TXN00033,ORD00033,2026-08-25,CUST1009,2999,INR,CARD,SUCCESS,PENDING,0
TXN00034,ORD00034,2026-08-06,CUST1061,2999,INR,NETBANKING,REFUNDED,SETTLED,2999
TXN00035,ORD00035,2026-08-07,CUST1078,1999,INR,CARD,SUCCESS,PENDING,0
TXN00036,ORD00036,2026-08-15,CUST1086,1499,INR,WALLET,SUCCESS,SETTLED,1499
TXN00037,ORD00037,2026-08-11,CUST1029,299,INR,UPI,REFUNDED,SETTLED,299
TXN00038,ORD00038,2026-08-19,CUST1071,799,INR,CARD,SUCCESS,SETTLED,799
TXN00039,ORD00039,2026-08-08,CUST1091,199,INR,UPI,SUCCESS,SETTLED,199
TXN00040,ORD00040,2026-08-08,CUST1010,2999,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00041,ORD00041,2026-08-05,CUST1028,2999,INR,WALLET,SUCCESS,SETTLED,2999
TXN00042,ORD00042,2026-08-04,CUST1053,799,INR,UPI,FAILED,NOT_SETTLED,0
TXN00043,ORD00043,2026-08-14,CUST1046,1999,INR,WALLET,SUCCESS,PENDING,0
TXN00044,ORD00044,2026-08-02,CUST1084,299,INR,WALLET,SUCCESS,SETTLED,299
TXN00045,ORD00045,2026-08-07,CUST1032,799,INR,WALLET,SUCCESS,SETTLED,799
TXN00046,ORD00046,2026-08-15,CUST1024,999,INR,CARD,SUCCESS,SETTLED,999
TXN00047,ORD00047,2026-08-02,CUST1071,299,INR,UPI,SUCCESS,SETTLED,299
TXN00048,ORD00048,2026-08-16,CUST1022,1999,INR,WALLET,SUCCESS,SETTLED,1999
TXN00049,ORD00049,2026-08-13,CUST1008,499,INR,UPI,FAILED,NOT_SETTLED,0
TXN00050,ORD00050,2026-08-10,CUST1034,2499,INR,WALLET,REFUNDED,SETTLED,2499
TXN00051,ORD00051,2026-08-05,CUST1085,2499,INR,CARD,SUCCESS,SETTLED,2499
TXN00052,ORD00052,2026-08-24,CUST1008,4999,INR,UPI,SUCCESS,SETTLED,4999
TXN00053,ORD00053,2026-08-16,CUST1007,4999,INR,CARD,SUCCESS,PENDING,0
TXN00054,ORD00054,2026-08-03,CUST1011,499,INR,UPI,SUCCESS,SETTLED,499
TXN00055,ORD00055,2026-08-08,CUST1016,4999,INR,UPI,REFUNDED,SETTLED,4999
TXN00056,ORD00056,2026-08-22,CUST1011,1999,INR,NETBANKING,SUCCESS,SETTLED,1999
TXN00057,ORD00057,2026-08-08,CUST1086,1499,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00058,ORD00058,2026-08-15,CUST1017,999,INR,NETBANKING,SUCCESS,SETTLED,999
TXN00059,ORD00059,2026-08-19,CUST1059,4999,INR,UPI,SUCCESS,PENDING,0
TXN00060,ORD00060,2026-08-09,CUST1028,2999,INR,CARD,SUCCESS,SETTLED,2999
TXN00061,ORD00061,2026-08-10,CUST1032,1499,INR,CARD,FAILED,NOT_SETTLED,0
TXN00062,ORD00062,2026-08-20,CUST1070,999,INR,UPI,REFUNDED,SETTLED,999
TXN00063,ORD00063,2026-08-05,CUST1039,299,INR,NETBANKING,SUCCESS,SETTLED,299
TXN00064,ORD00064,2026-08-05,CUST1096,2999,INR,NETBANKING,SUCCESS,PENDING,0
TXN00065,ORD00065,2026-08-07,CUST1027,1499,INR,NETBANKING,REFUNDED,SETTLED,1499
TXN00066,ORD00066,2026-08-28,CUST1063,999,INR,UPI,SUCCESS,PENDING,0
TXN00067,ORD00067,2026-08-02,CUST1055,999,INR,UPI,SUCCESS,SETTLED,999
TXN00068,ORD00068,2026-08-06,CUST1082,999,INR,WALLET,REFUNDED,SETTLED,999
TXN00069,ORD00069,2026-08-18,CUST1091,1999,INR,UPI,SUCCESS,SETTLED,1999
TXN00070,ORD00070,2026-08-18,CUST1089,499,INR,UPI,SUCCESS,PENDING,0
TXN00071,ORD00071,2026-08-14,CUST1071,499,INR,CARD,SUCCESS,SETTLED,499
TXN00072,ORD00072,2026-08-12,CUST1047,199,INR,CARD,SUCCESS,PENDING,0
TXN00073,ORD00073,2026-08-25,CUST1014,1499,INR,WALLET,REFUNDED,SETTLED,1499
TXN00074,ORD00074,2026-08-08,CUST1096,499,INR,CARD,SUCCESS,SETTLED,499
TXN00075,ORD00075,2026-08-24,CUST1004,499,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00076,ORD00076,2026-08-09,CUST1086,799,INR,CARD,SUCCESS,SETTLED,799
TXN00077,ORD00077,2026-08-08,CUST1005,2499,INR,CARD,FAILED,NOT_SETTLED,0
TXN00078,ORD00078,2026-08-27,CUST1045,999,INR,CARD,SUCCESS,SETTLED,999
TXN00079,ORD00079,2026-08-13,CUST1085,799,INR,NETBANKING,SUCCESS,SETTLED,799
TXN00080,ORD00080,2026-08-12,CUST1099,999,INR,WALLET,REFUNDED,SETTLED,999
TXN00081,ORD00081,2026-08-04,CUST1043,199,INR,NETBANKING,SUCCESS,PENDING,0
TXN00082,ORD00082,2026-08-04,CUST1034,199,INR,WALLET,SUCCESS,PENDING,0
TXN00083,ORD00083,2026-08-20,CUST1041,1999,INR,UPI,FAILED,NOT_SETTLED,0
TXN00084,ORD00084,2026-08-09,CUST1074,799,INR,UPI,FAILED,NOT_SETTLED,0
TXN00085,ORD00085,2026-08-26,CUST1001,2999,INR,CARD,SUCCESS,SETTLED,2999
TXN00086,ORD00086,2026-08-20,CUST1009,1499,INR,NETBANKING,SUCCESS,PENDING,0
TXN00087,ORD00087,2026-08-10,CUST1039,2999,INR,WALLET,SUCCESS,SETTLED,2999
TXN00088,ORD00088,2026-08-18,CUST1090,999,INR,CARD,SUCCESS,SETTLED,999
TXN00089,ORD00089,2026-08-22,CUST1086,1999,INR,CARD,REFUNDED,SETTLED,1999
TXN00090,ORD00090,2026-08-13,CUST1073,999,INR,UPI,SUCCESS,SETTLED,999
TXN00091,ORD00091,2026-08-26,CUST1027,1999,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00092,ORD00092,2026-08-22,CUST1057,2499,INR,CARD,REFUNDED,SETTLED,2499
TXN00093,ORD00093,2026-08-22,CUST1061,499,INR,UPI,SUCCESS,PENDING,0
TXN00094,ORD00094,2026-08-11,CUST1085,4999,INR,UPI,SUCCESS,PENDING,0
TXN00095,ORD00095,2026-08-26,CUST1040,799,INR,CARD,SUCCESS,SETTLED,799
TXN00096,ORD00096,2026-08-16,CUST1006,799,INR,UPI,FAILED,NOT_SETTLED,0
TXN00097,ORD00097,2026-08-07,CUST1054,4999,INR,WALLET,FAILED,NOT_SETTLED,0
TXN00098,ORD00098,2026-08-05,CUST1052,799,INR,UPI,SUCCESS,SETTLED,799
TXN00099,ORD00099,2026-08-26,CUST1029,499,INR,WALLET,SUCCESS,PENDING,0
TXN00100,ORD00100,2026-08-15,CUST1032,299,INR,CARD,FAILED,NOT_SETTLED,0
TXN00101,ORD00101,2026-08-18,CUST1086,2999,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00102,ORD00102,2026-08-14,CUST1079,2999,INR,WALLET,SUCCESS,PENDING,0
TXN00103,ORD00103,2026-08-09,CUST1061,2499,INR,CARD,SUCCESS,PENDING,0
TXN00104,ORD00104,2026-08-09,CUST1063,799,INR,WALLET,SUCCESS,PENDING,0
TXN00105,ORD00105,2026-08-09,CUST1037,799,INR,NETBANKING,SUCCESS,PENDING,0
TXN00106,ORD00106,2026-08-05,CUST1011,499,INR,CARD,FAILED,NOT_SETTLED,0
TXN00107,ORD00107,2026-08-23,CUST1089,499,INR,CARD,SUCCESS,SETTLED,499
TXN00108,ORD00108,2026-08-18,CUST1053,1499,INR,WALLET,FAILED,NOT_SETTLED,0
TXN00109,ORD00109,2026-08-27,CUST1008,799,INR,WALLET,FAILED,NOT_SETTLED,0
TXN00110,ORD00110,2026-08-23,CUST1099,4999,INR,UPI,REFUNDED,SETTLED,4999
TXN00111,ORD00111,2026-08-01,CUST1049,2499,INR,NETBANKING,SUCCESS,SETTLED,2499
TXN00112,ORD00112,2026-08-24,CUST1054,2999,INR,CARD,FAILED,NOT_SETTLED,0
TXN00113,ORD00113,2026-08-14,CUST1029,999,INR,WALLET,SUCCESS,SETTLED,999
TXN00114,ORD00114,2026-08-24,CUST1044,1999,INR,CARD,FAILED,NOT_SETTLED,0
TXN00115,ORD00115,2026-08-18,CUST1017,4999,INR,UPI,FAILED,NOT_SETTLED,0
TXN00116,ORD00116,2026-08-22,CUST1076,4999,INR,UPI,SUCCESS,PENDING,0
TXN00117,ORD00117,2026-08-28,CUST1055,499,INR,WALLET,SUCCESS,SETTLED,499
TXN00118,ORD00118,2026-08-11,CUST1034,1999,INR,CARD,FAILED,NOT_SETTLED,0
TXN00119,ORD00119,2026-08-25,CUST1042,1499,INR,WALLET,SUCCESS,SETTLED,1499
TXN00120,ORD00120,2026-08-16,CUST1033,299,INR,UPI,REFUNDED,SETTLED,299
